Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Discount,Revenue
O10000,2025-06-12 00:00:00,C1051,Monitor,Electronics,West,5,18000.0,0.2,72000.0
O10001,2025-03-20 00:00:00,C1101,Keyboard,Accessories,West,4,2500.0,0.0,10000.0
O10002,2025-01-05 00:00:00,C1181,Tablet,Electronics,North,3,22000.0,0.05,62700.0
O10003,2025-11-12 00:00:00,C1187,Keyboard,Accessories,West,1,2500.0,0.15,2125.0
O10004,2025-04-30 00:00:00,C1056,Keyboard,Accessories,North,3,2500.0,0.05,7125.0
O10005,2025-10-29 00:00:00,C1046,Phone,Electronics,East,3,30000.0,0.05,85500.0
O10006,2025-06-27 00:00:00,C1158,Tablet,Electronics,East,5,22000.0,0.0,110000.0
O10007,2025-06-25 00:00:00,C1173,Tablet,Electronics,West,4,22000.0,0.0,88000.0
O10008,2025-08-05 00:00:00,C1025,Tablet,Electronics,West,2,22000.0,0.0,44000.0
O10009,2025-02-25 00:00:00,C1113,Keyboard,Accessories,South,4,2500.0,0.0,10000.0
O10010,2025-07-06 00:00:00,C1004,Monitor,Electronics,West,4,18000.0,0.2,57600.0
O10011,2025-08-20 00:00:00,C1083,Tablet,Electronics,South,3,22000.0,0.0,66000.0
O10012,2025-09-12 00:00:00,C1051,Mouse,Accessories,East,4,1200.0,0.2,3840.0
O10013,2025-04-14 00:00:00,C1104,Keyboard,Accessories,East,1,2500.0,0.2,2000.0
O10014,2025-03-18 00:00:00,C1053,Phone,Electronics,North,3,30000.0,0.0,90000.0
O10015,2025-08-18 00:00:00,C1160,Monitor,Electronics,East,1,18000.0,0.1,16200.0
O10016,2025-09-15 00:00:00,C1177,Mouse,Accessories,South,2,1200.0,0.15,2040.0
O10017,2025-09-21 00:00:00,C1165,Mouse,Accessories,West,3,1200.0,0.05,3420.0
O10018,2025-11-27 00:00:00,C1154,Phone,Electronics,North,2,30000.0,0.2,48000.0
O10019,2025-07-01 00:00:00,C1014,Monitor,Electronics,South,3,18000.0,0.15,45900.0
O10020,2025-09-13 00:00:00,C1060,Keyboard,Accessories,West,5,2500.0,0.1,11250.0
O10021,2025-02-07 00:00:00,C1121,Laptop,Electronics,North,4,65000.0,0.05,247000.0
O10022,2025-06-25 00:00:00,C1020,Monitor,Electronics,East,5,18000.0,0.05,85500.0
O10023,2025-01-27 00:00:00,C1045,Phone,Electronics,South,2,30000.0,0.2,48000.0
O10024,2025-10-03 00:00:00,C1196,Mouse,Accessories,West,4,1200.0,0.0,4800.0
O10025,2025-05-20 00:00:00,,Keyboard,Accessories,North,3,2500.0,0.1,6750.0
O10026,2025-10-26 00:00:00,C1037,Monitor,Electronics,North,4,18000.0,0.2,57600.0
O10027,2025-10-14 00:00:00,C1061,Laptop,Electronics,East,1,65000.0,0.1,58500.0
O10028,2025-04-01 00:00:00,C1085,Laptop,Electronics,West,4,65000.0,0.0,260000.0
O10029,2025-03-02 00:00:00,C1189,Tablet,Electronics,East,1,22000.0,0.0,22000.0
O10030,2025-12-31 00:00:00,C1077,Tablet,Electronics,East,4,22000.0,0.2,70400.0
O10031,2025-12-13 00:00:00,C1045,Phone,Electronics,West,1,30000.0,0.0,30000.0
O10032,2025-06-12 00:00:00,C1140,Monitor,Electronics,West,2,18000.0,0.15,30600.0
O10033,2025-12-17 00:00:00,C1002,Monitor,Electronics,West,5,18000.0,0.05,85500.0
O10034,2025-05-23 00:00:00,C1005,Mouse,Accessories,South,3,1200.0,0.2,2880.0
O10035,2025-09-10 00:00:00,C1092,Mouse,Accessories,West,4,1200.0,0.1,4320.0
O10036,2025-09-26 00:00:00,C1007,Mouse,Accessories,North,5,1200.0,0.15,5100.0
O10037,2025-10-18 00:00:00,C1171,Tablet,Electronics,East,3,22000.0,0.2,52800.0
O10038,2025-07-06 00:00:00,C1107,Monitor,Electronics,South,3,18000.0,0.0,54000.0
O10039,2025-10-31 00:00:00,C1160,Monitor,Electronics,West,1,18000.0,0.0,18000.0
O10040,2025-10-18 00:00:00,C1074,Laptop,Electronics,South,2,65000.0,0.0,130000.0
O10041,2025-03-27 00:00:00,C1076,Tablet,Electronics,West,2,22000.0,0.0,44000.0
O10042,2025-06-15 00:00:00,C1049,Keyboard,Accessories,South,5,,0.1,11250.0
O10043,2025-04-24 00:00:00,C1010,Tablet,Electronics,East,2,22000.0,0.15,37400.0
O10044,2025-12-22 00:00:00,C1094,Keyboard,Accessories,East,4,2500.0,0.05,9500.0
O10045,2025-07-02 00:00:00,C1155,Laptop,Electronics,North,2,65000.0,0.1,117000.0
O10046,2025-07-26 00:00:00,C1069,Phone,Electronics,North,5,30000.0,0.1,135000.0
O10047,2025-09-13 00:00:00,C1168,Monitor,Electronics,West,2,18000.0,0.05,34200.0
O10048,2025-08-23 00:00:00,C1015,Laptop,Electronics,East,4,65000.0,0.05,247000.0
O10049,2025-12-21 00:00:00,C1067,Monitor,Electronics,South,1,18000.0,0.0,18000.0
O10050,2025-01-03 00:00:00,C1098,Mouse,Accessories,South,5,1200.0,0.1,5400.0
O10051,2025-07-27 00:00:00,C1047,Phone,Electronics,South,1,30000.0,0.2,24000.0
O10052,2025-07-16 00:00:00,C1183,Phone,Electronics,North,1,30000.0,0.05,28500.0
O10053,2025-12-07 00:00:00,C1063,Laptop,Electronics,South,1,65000.0,0.05,61750.0
O10054,2025-05-05 00:00:00,C1186,Phone,Electronics,North,3,30000.0,0.15,76500.0
O10055,2025-05-18 00:00:00,C1089,Keyboard,Accessories,North,3,2500.0,0.2,6000.0
O10056,2025-12-05 00:00:00,C1189,Phone,Electronics,West,1,30000.0,0.2,24000.0
